Date,Open,High,Low,Close,Volume
7-Sep-17,2458,2468.4,2451.05,2460.1,435318
8-Sep-17,2453.75,2474,2452.55,2470.6,510567
11-Sep-17,2471.2,2482.95,2450,2454.45,366382
12-Sep-17,2473.9,2497,2457,2488.45,698230
13-Sep-17,2500,2531.65,2475.2,2489.2,639490
14-Sep-17,2482,2497.6,2471.9,2486.95,540755
15-Sep-17,2499,2517,2485,2506.05,1472036
18-Sep-17,2504.95,2518.95,2489.25,2499.05,363300
19-Sep-17,2505,2505,2491.5,2498.25,391377
20-Sep-17,2514,2514,2474.3,2493.55,667321
21-Sep-17,2491.05,2541,2480,2524.9,1219370
22-Sep-17,2519.9,2526.9,2492,2503.6,1217698
25-Sep-17,2496.55,2534,2492.75,2510.75,799779
26-Sep-17,2510,2526.4,2466,2474.65,724615
27-Sep-17,2490,2512.2,2473.75,2495,1005178
28-Sep-17,2494.7,2514,2452,2476.45,2166433
29-Sep-17,2479,2484,2421.5,2435.95,992507
3-Oct-17,2440,2454.3,2427.05,2448.45,961503
4-Oct-17,2449.6,2454,2425,2442.3,650389
5-Oct-17,2441,2443.45,2424.4,2429.6,842343
6-Oct-17,2430,2455,2428.05,2446.65,694594
9-Oct-17,2441.05,2467.95,2441.05,2454.1,886808
10-Oct-17,2455,2469.95,2451.25,2459.25,611005
11-Oct-17,2460,2514.45,2456.75,2500.35,763873
12-Oct-17,2513,2555,2507,2548.2,2503178
13-Oct-17,2548.2,2608.95,2523,2558.6,2033160
16-Oct-17,2555.05,2590,2555.05,2584.4,609295
17-Oct-17,2585,2614.95,2577.55,2594.55,721508
18-Oct-17,2595,2613.65,2580,2586.6,757072
19-Oct-17,2592,2595.8,2571,2583.9,43411
23-Oct-17,2584,2629,2547.45,2587.9,943044
24-Oct-17,2620,2620.9,2569.05,2578.4,669510
25-Oct-17,2578.5,2614,2555,2559.9,552553
26-Oct-17,2535.1,2569.15,2517.9,2538.85,1503776
27-Oct-17,2538,2593.15,2530.3,2584.3,704635
30-Oct-17,2586,2620,2581.7,2616.2,568626
31-Oct-17,2601.3,2640,2601.3,2624,796317
1-Nov-17,2624,2626.85,2578.85,2602.85,370941
2-Nov-17,2608.5,2674,2606.75,2626.15,734211
