"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TCS","EQ","21-Dec-2021","       3556.90","       3582.65","       3641.20","       3566.40","       3611.00","       3608.30","       3617.22","    2340989","          8467877601.90","     118423","    1470826","         62.83"
"TCS","EQ","22-Dec-2021","       3608.30","       3624.00","       3636.80","       3606.25","       3628.30","       3630.75","       3625.84","    1224328","          4439223316.50","     102255","     755182","         61.68"
"TCS","EQ","23-Dec-2021","       3630.75","       3648.00","       3670.50","       3630.00","       3660.65","       3662.70","       3656.52","    1792861","          6555623174.05","      98445","    1107607","         61.78"
"TCS","EQ","24-Dec-2021","       3662.70","       3685.00","       3705.00","       3644.80","       3671.00","       3670.90","       3673.31","    2209923","          8117727561.70","      88664","    1156092","         52.31"
"TCS","EQ","27-Dec-2021","       3670.90","       3671.00","       3700.00","       3653.10","       3696.50","       3696.10","       3684.66","    1534135","          5652764172.30","      80828","     866793","         56.50"
"TCS","EQ","28-Dec-2021","       3696.10","       3710.00","       3725.00","       3693.85","       3706.95","       3706.55","       3713.05","    1456218","          5407012571.25","      83968","     917903","         63.03"
"TCS","EQ","29-Dec-2021","       3706.55","       3692.25","       3719.95","       3685.00","       3688.05","       3694.70","       3704.90","    1456923","          5397758672.00","      94120","    1091321","         74.91"
"TCS","EQ","30-Dec-2021","       3694.70","       3681.35","       3740.00","       3680.00","       3737.00","       3733.75","       3725.52","    1966475","          7326133567.90","     105274","    1296163","         65.91"
"TCS","EQ","31-Dec-2021","       3733.75","       3742.80","       3760.00","       3731.30","       3740.00","       3738.35","       3744.51","    1207141","          4520149056.45","     101227","     727618","         60.28"
"TCS","EQ","03-Jan-2022","       3738.35","       3750.00","       3830.00","       3745.00","       3815.00","       3817.75","       3807.43","    2346158","          8932827981.15","     143798","    1433211","         61.09"
"TCS","EQ","04-Jan-2022","       3817.75","       3831.10","       3889.15","       3811.70","       3878.70","       3884.75","       3859.30","    2488606","          9604274014.30","     141253","    1539134","         61.85"
"TCS","EQ","05-Jan-2022","       3884.75","       3865.00","       3870.00","       3812.40","       3856.00","       3860.95","       3847.67","    1733031","          6668131688.00","     136018","     988277","         57.03"
"TCS","EQ","06-Jan-2022","       3860.95","       3812.00","       3835.00","       3772.00","       3809.95","       3807.45","       3802.98","    1810293","          6884500149.55","     135529","     995325","         54.98"
"TCS","EQ","07-Jan-2022","       3807.45","       3820.00","       3864.90","       3796.40","       3858.90","       3853.50","       3839.03","    2460591","          9446283701.75","     157006","    1501620","         61.03"
"TCS","EQ","10-Jan-2022","       3853.50","       3978.00","       3978.00","       3861.00","       3884.00","       3879.85","       3897.84","    3937092","         15346166149.80","     247085","    1687823","         42.87"
