"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"TCS","EQ","19-Apr-2022","       3528.05","       3550.00","       3563.55","       3439.15","       3462.00","       3471.90","       3508.54","    3170014","         11122129456.75","     208443"
"TCS","EQ","20-Apr-2022","       3471.90","       3500.00","       3569.15","       3480.00","       3558.00","       3556.80","       3546.74","    2640370","          9364702419.10","     185024"
"TCS","EQ","21-Apr-2022","       3556.80","       3580.00","       3644.00","       3567.40","       3621.00","       3628.65","       3619.23","    2280996","          8255439639.10","     136751"
"TCS","EQ","22-Apr-2022","       3628.65","       3581.10","       3617.00","       3571.50","       3613.00","       3612.55","       3602.06","    1581465","          5696536818.60","      93552"
"TCS","EQ","25-Apr-2022","       3612.55","       3558.00","       3584.00","       3533.10","       3546.05","       3548.20","       3557.80","    1960694","          6975753255.70","     146368"
"TCS","EQ","26-Apr-2022","       3548.20","       3575.15","       3587.90","       3518.15","       3544.00","       3546.30","       3550.67","    1943469","          6900626735.65","     139910"
"TCS","EQ","27-Apr-2022","       3546.30","       3546.00","       3568.45","       3506.30","       3560.00","       3561.20","       3540.41","    1727648","          6116579202.75","     111612"
"TCS","EQ","28-Apr-2022","       3561.20","       3588.00","       3604.40","       3538.05","       3580.00","       3584.30","       3574.03","    1703660","          6088933925.50","     122574"
"TCS","EQ","29-Apr-2022","       3584.30","       3597.00","       3623.25","       3536.85","       3548.00","       3546.70","       3576.78","    2051115","          7336393454.55","     107015"
"TCS","EQ","02-May-2022","       3546.70","       3519.90","       3547.95","       3492.75","       3538.70","       3542.40","       3520.91","    1324161","          4662247237.85","     118662"
